File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\cl_stubs\cl_stub.c,15,5,2,0,4,0,6,12,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_DRIVER_EXPORT_CALLS.h,24,13,0,0,5,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_DRIVER.c,8,1,0,0,1,0,6,12,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_ADC\DD_ADC.h,43,27,4,0,9,1,7,18,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_ADC\DD_ADC.c,38,15,10,2,12,1,11,34,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_CLOCK\DD_ADC.h,42,27,4,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_CLOCK\DD_CLOCK.h,16,5,1,0,5,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_CLOCK\DD_ADC.c,30,17,10,2,5,0,8,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_CLOCK\DD_CLOCK.c,17,8,5,0,3,0,6,12,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_GPIO\DD_ADC.h,42,27,4,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_GPIO\DD_GPIO.h,42,22,6,0,9,1,11,53,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_GPIO\DD_ADC.c,30,17,10,2,5,0,8,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_GPIO\DD_GPIO.c,162,110,67,29,25,0,27,42,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_HANDLERS\DD_ADC.h,42,27,4,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_HANDLERS\DD_HANDLER.h,18,6,2,0,5,1,7,14,7,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_HANDLERS\DD_ADC.c,30,17,10,2,5,0,8,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_HANDLERS\DD_HANDLER.c,74,45,24,4,18,0,11,32,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_INT\DD_INT.h,16,5,1,0,5,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_INT\DD_INT.c,77,29,26,0,11,0,37,49,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_INTERRUPT\DD_INTERRUPT.h,16,3,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_NVM\DD_NVM.h,29,10,3,0,10,1,9,30,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_NVM\DD_NVM.c,186,112,78,25,39,1,35,125,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_PWM\DD_PWM.h,36,20,5,0,10,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_PWM\DD_PWM.c,78,36,29,2,21,1,21,59,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_SYS\DD_SYS.h,47,30,24,0,10,1,7,18,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_SYS\DD_SYS.c,1228,836,616,163,303,44,89,333,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_TIMER\DD_TIMER.h,19,6,2,0,6,1,7,21,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_TIMER\DD_TIMER.c,65,29,23,2,13,0,23,84,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_UART\DD_UART.h,22,7,3,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Drivers\DD_UART\DD_UART.c,60,31,21,2,15,0,14,30,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\sv_interface.h,148,121,38,0,19,1,8,19,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_ALIND\SV_ALARM.h,23,8,2,0,9,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_ALIND\SV_ALARM.c,22,11,6,2,5,0,6,12,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_CNTRL\SV_CNTRL.h,41,25,19,0,10,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_CNTRL\SV_CNTRL.c,133,86,51,17,41,0,6,12,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_CONSOLE\SV_CONSOLE.h,22,7,1,0,6,1,9,22,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_CONSOLE\SV_CONSOLE.c,39,12,7,2,11,0,16,29,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_NVM\SV_NVRAM.h,16,3,0,0,7,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_STATUS\SV_STATUS.h,38,26,20,0,6,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_STATUS\SV_STATUS.c,234,176,133,20,49,5,9,34,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_SYS\SV_SYS.h,30,5,0,0,8,1,17,52,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_SYS\SV_SYS.c,27,14,10,0,3,0,10,19,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_TIMER\SV_TIMER.h,19,7,2,0,6,1,6,14,6,12
G:\July28_archive\Renalyx_DM1\Renalyx_DM1\src\Platform\Service\SV_TIMER\SV_TIMER.c,30,11,6,2,10,0,9,21,6,12
